년월,지점,강수량(mm)
2018-01,108,8.5
2018-02,108,29.6
2018-03,108,49.5
2018-04,108,130.3
2018-05,108,222
2018-06,108,171.5
2018-07,108,185.6
2018-08,108,202.6
2018-09,108,68.5
2018-10,108,120.5
2018-11,108,79.1
2018-12,108,16.4
2019-01,108,0
2019-02,108,23.8
2019-03,108,26.8
2019-04,108,47.3
2019-05,108,37.8
2019-06,108,74
2019-07,108,194.4
2019-08,108,190.5
2019-09,108,139.8
2019-10,108,55.5
2019-11,108,78.8
2019-12,108,22.6
2020-01,108,60.5
2020-02,108,53.1
2020-03,108,16.3
2020-04,108,16.9
2020-05,108,112.4
2020-06,108,139.6
2020-07,108,270.4
2020-08,108,675.7
2020-09,108,181.5
2020-10,108,0
2020-11,108,120.1
2020-12,108,4.6
2021-01,108,18.9
2021-02,108,7.1
2021-03,108,110.9
2021-04,108,124.1
2021-05,108,183.1
2021-06,108,104.6
2021-07,108,168.3
2021-08,108,211.2
2021-09,108,131
2021-10,108,57
2021-11,108,62.4
2021-12,108,7.9
2022-01,108,5.5
2022-02,108,4.7
2022-03,108,102.6
2022-04,108,20.4
2022-05,108,7.5
2022-06,108,393.8
2022-07,108,252.3
2022-08,108,564.8
2022-09,108,201.5
2022-10,108,124.1
2022-11,108,84.5
2022-12,108,13.6
2023-01,108,47.9
2023-02,108,1
2023-03,108,10.5
2023-04,108,96.9
2023-05,108,155.6
2023-06,108,195.6
2023-07,108,459.9
2023-08,108,298.1
2023-09,108,134.5
2023-10,108,31
2023-11,108,81.9
2023-12,108,85.9
